release_id,entity_type,entity_id,entity_revision
phase1-2026-07-14,claim,confucius-ren-ritual,1
phase1-2026-07-14,claim,confucius-reciprocity,1
phase1-2026-07-14,claim,confucius-rule-virtue,1
phase1-2026-07-14,claim,laozi-language-dao,1
phase1-2026-07-14,claim,laozi-wuwei-transformation,1
phase1-2026-07-14,claim,laozi-model-naturalness,1
phase1-2026-07-14,claim,mozi-inclusive-care,1
phase1-2026-07-14,claim,mozi-care-order,1
phase1-2026-07-14,claim,mozi-merit-office,1
phase1-2026-07-14,claim,mencius-moral-sprouts,1
phase1-2026-07-14,claim,mencius-nature-good,1
phase1-2026-07-14,claim,mencius-people-priority,1
phase1-2026-07-14,claim,zhuangzi-perspectives,1
phase1-2026-07-14,claim,zhuangzi-no-fixed-self,1
phase1-2026-07-14,claim,zhuangzi-ten-thousand-one,1
phase1-2026-07-14,claim,xunzi-nature-transformation,1
phase1-2026-07-14,claim,xunzi-ritual-order,1
phase1-2026-07-14,claim,xunzi-heaven-constant,1
phase1-2026-07-14,relation,rel-confucius-xunzi-ritual,1
phase1-2026-07-14,relation,rel-confucius-mencius-cultivation,1
phase1-2026-07-14,relation,rel-confucius-mozi-care,1
phase1-2026-07-14,relation,rel-confucius-mozi-partiality,1
phase1-2026-07-14,relation,rel-confucius-mencius-rule,1
phase1-2026-07-14,relation,rel-laozi-zhuangzi-language,1
phase1-2026-07-14,relation,rel-laozi-zhuangzi-naturalness,1
phase1-2026-07-14,relation,rel-laozi-confucius-government,1
phase1-2026-07-14,relation,rel-mozi-confucius-appointment,1
phase1-2026-07-14,relation,rel-mozi-mencius-welfare,1
phase1-2026-07-14,relation,rel-mencius-xunzi-nature,1
phase1-2026-07-14,relation,rel-mencius-xunzi-moral-source,1
phase1-2026-07-14,relation,rel-laozi-xunzi-nature,1
phase1-2026-07-14,relation,rel-zhuangzi-xunzi-heaven,1
